x,Tg,Ts,difference,source
0.000000,14.996592,14.992392,0.004200,0.000000
0.010101,14.990357,14.978165,0.012192,0.000000
0.020202,14.985703,14.966299,0.019405,0.000000
0.030303,14.984362,14.958556,0.025806,0.000000
0.040404,14.988327,14.956958,0.031369,0.000000
0.050505,14.999899,14.963844,0.036055,0.000000
0.060606,15.021737,14.981935,0.039802,0.000000
0.070707,15.056911,15.014398,0.042513,0.000000
0.080808,15.108971,15.064918,0.044053,0.000000
0.090909,15.182014,15.137769,0.044245,0.000000
0.101010,15.280765,15.237902,0.042863,0.000000
0.111111,15.410665,15.371034,0.039632,0.000000
0.121212,15.577967,15.543751,0.034215,0.000000
0.131313,15.789836,15.763620,0.026216,0.000000
0.141414,16.054474,16.039307,0.015167,0.000000
0.151515,16.381236,16.380711,0.000525,0.000000
0.161616,16.780772,16.799106,-0.018334,0.000000
0.171717,17.265173,17.307293,-0.042121,0.000000
0.181818,17.848128,17.919764,-0.071635,0.000000
0.191919,18.545104,18.652872,-0.107768,0.000000
0.202020,19.373521,19.525017,-0.151495,0.000000
0.212121,20.352963,20.556828,-0.203864,0.000000
0.222222,21.505387,21.771358,-0.265971,0.000000
0.232323,22.855363,23.194276,-0.338913,0.000000
0.242424,24.430329,24.854047,-0.423718,0.000000
0.252525,26.260880,26.782105,-0.521225,0.000000
0.262626,28.381090,29.012987,-0.631897,0.000000
0.272727,30.828888,31.584419,-0.755530,0.000000
0.282828,33.646501,34.537310,-0.890810,0.000000
0.292929,36.881003,37.915625,-1.034622,0.000000
0.303030,40.585020,41.766030,-1.181011,0.000000
0.313131,44.817652,46.137228,-1.319575,0.000000
0.323232,49.645744,51.078792,-1.433048,0.000000
0.333333,55.145659,56.639250,-1.493591,0.000000
0.343434,61.405827,62.863011,-1.457185,0.000000
0.353535,68.530466,69.785553,-1.255087,0.000000
0.363636,76.645068,77.425937,-0.780869,0.000000
0.373737,85.904582,85.775293,0.129289,0.000000
0.383838,96.505664,94.779154,1.726511,0.000000
0.393939,108.705139,104.310468,4.394671,0.000000
0.404040,121.982203,114.151206,7.830997,315.000000
0.414141,134.968296,124.025657,10.942639,315.000000
0.424242,146.963230,133.674713,13.288517,315.000000
0.434343,158.015028,142.899668,15.115360,315.000000
0.444444,168.147778,151.556388,16.591391,315.000000
0.454545,177.368315,159.537202,17.831113,315.000000
0.464646,185.670611,166.758480,18.912131,315.000000
0.474747,193.038574,173.152097,19.886477,315.000000
0.484848,199.447715,178.659619,20.788096,315.000000
0.494949,204.865988,183.228400,21.637588,315.000000
0.505051,209.253969,186.809106,22.444864,315.000000
0.515152,212.564468,189.354379,23.210089,315.000000
0.525253,214.741550,190.818562,23.922989,315.000000
0.535354,215.718890,191.158544,24.560345,315.000000
0.545455,215.417217,190.336020,25.081196,315.000000
0.555556,213.740516,188.321657,25.418859,315.000000
0.565657,210.570390,185.102036,25.468354,315.000000
0.575758,205.757682,180.690715,25.066967,315.000000
0.585859,199.109987,175.145471,23.964516,315.000000
0.595960,190.372936,168.594906,21.778030,315.000000
0.606061,180.067699,161.256477,18.811222,0.000000
0.616162,169.560810,153.402843,16.157967,0.000000
0.626263,159.547706,145.287242,14.260464,0.000000
0.636364,149.972539,137.099359,12.873180,0.000000
0.646465,140.799949,128.970845,11.829104,0.000000
0.656566,132.007981,120.993128,11.014853,0.000000
0.666667,123.583254,113.229583,10.353671,0.000000
0.676768,115.517675,105.723859,9.793815,0.000000
0.686869,107.806204,98.505584,9.300620,0.000000
0.696970,100.445363,91.594288,8.851075,0.000000
0.707071,93.432225,85.002111,8.430113,0.000000
0.717172,86.763768,78.735690,8.028078,0.000000
0.727273,80.436460,72.797482,7.638978,0.000000
0.737374,74.446012,67.186713,7.259299,0.000000
0.747475,68.787251,61.900065,6.887186,0.000000
0.757576,63.454071,56.932195,6.521875,0.000000
0.767677,58.439444,52.276131,6.163313,0.000000
0.777778,53.735473,47.923591,5.811882,0.000000
0.787879,49.333470,43.865247,5.468223,0.000000
0.797980,45.224052,40.090949,5.133103,0.000000
0.808081,41.397262,36.589932,4.807329,0.000000
0.818182,37.842682,33.350990,4.491692,0.000000
0.828283,34.549571,30.362649,4.186921,0.000000
0.838384,31.506988,27.613324,3.893665,0.000000
0.848485,28.703936,25.091467,3.612469,0.000000
0.858586,26.129492,22.785714,3.343779,0.000000
0.868687,23.772950,20.685022,3.087928,0.000000
0.878788,21.623961,18.778806,2.845155,0.000000
0.888889,19.672677,17.057070,2.615607,0.000000
0.898990,17.909903,15.510536,2.399367,0.000000
0.909091,16.327253,14.130774,2.196479,0.000000
0.919192,14.917322,12.910322,2.006999,0.000000
0.929293,13.673872,11.842807,1.831064,0.000000
0.939394,12.592046,10.923048,1.668998,0.000000
0.949495,11.668616,10.147140,1.521476,0.000000
0.959596,10.902282,9.512503,1.389779,0.000000
0.969697,10.294047,9.017868,1.276179,0.000000
0.979798,9.847696,8.663145,1.184551,0.000000
0.989899,9.570438,8.449132,1.121307,0.000000
1.000000,9.473778,8.376919,1.096859,0.000000
