# time max_Tg max_Ts avg_Tg avg_Ts
0 14.9748 14.9747 7.50322 7.5
0.05 22.1294 14.9375 10.3888 7.84786
0.1 33.3033 14.9356 12.7732 8.69467
0.15 42.9323 18.9149 14.8542 9.84385
0.2 51.4322 24.9844 16.7511 11.1762
0.25 59.0695 31.3786 18.5362 12.6195
0.3 66.1459 37.8869 20.2535 14.1298
0.35 72.8122 44.3172 21.9296 15.6808
0.4 79.1364 50.6067 23.5806 17.2563
0.45 85.1833 56.7269 25.2162 18.8465
0.5 90.9963 62.719 26.8425 20.4455
0.55 96.6056 68.5487 28.463 22.0498
0.6 102.033 74.2097 30.08 23.6572
0.65 107.333 79.7089 31.6946 25.2663
0.7 112.517 85.0545 33.3078 26.8765
0.75 117.563 90.2547 34.92 28.4872
0.8 122.48 95.3176 36.5315 30.098
0.85 127.277 100.251 38.1425 31.709
0.9 131.96 105.062 39.7531 33.3198
0.95 136.535 109.757 41.3632 34.9305
1 141.009 114.386 42.973 36.5411
1.05 145.385 118.933 44.5823 38.1514
1.1 149.67 123.382 46.1913 39.7614
1.15 153.866 127.74 47.7998 41.3711
1.2 157.979 132.008 49.4078 42.9805
1.25 162.011 136.193 51.0152 44.5895
1.3 165.983 140.297 52.6221 46.1981
1.35 169.932 144.323 54.2283 47.8062
1.4 173.812 148.275 55.8337 49.4138
1.45 177.624 152.156 57.4384 51.0208
1.5 181.371 155.969 59.0421 52.6272
1.55 185.055 159.715 60.645 54.2329
1.6 188.679 163.398 62.2467 55.8378
1.65 192.245 167.02 63.8474 57.4419
1.7 195.754 170.582 65.4468 59.0451
1.75 199.209 174.115 67.0449 60.6473
1.8 202.611 177.627 68.6417 62.2484
1.85 205.961 181.086 70.2369 63.8483
1.9 209.263 184.494 71.8305 65.447
1.95 212.516 187.852 73.4225 67.0444
